,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Num_of_Routes_Covered,Month,Duration_min,Season,1_Long_layover,Change_airports,Business_class,Flight_Dept_Slot,Day_of_Dept,Is_Weekend,Price_capped,Arrival_Hour,Journey_Month,Price_Category,Route_Pair,Airline_enc,Source_enc,Destination_enc,Season_enc,Flight_Dept_Slot_enc
0,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,1900-01-01 22:20:00,2026-02-07 01:10:00,2h 50m,0,No info,3897,1,3,170,Summer,0,0,0,Nyt,Sunday,1,3897.0,1,3,Low,Banglore → New Delhi,3,0,5,1,3
1,Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → BBI → BLR,1900-01-01 05:50:00,2026-02-07 13:15:00,7h 25m,2,No info,7662,3,5,445,Summer,0,0,0,Mrng,Wednesday,0,7662.0,13,5,Medium,Kolkata → Banglore,1,3,0,1,2
2,Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → BOM → COK,1900-01-01 09:25:00,2026-02-07 04:25:00,19h,2,No info,13882,3,6,1140,Monsoon,0,0,0,Mrng,Sunday,1,13882.0,4,6,Very High,Delhi → Cochin,4,2,1,0,2
3,IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,1900-01-01 18:05:00,2026-02-07 23:30:00,5h 25m,1,No info,6218,2,5,325,Summer,0,0,0,Evng,Sunday,1,6218.0,23,5,Medium,Kolkata → Banglore,3,3,0,1,1
4,IndiGo,2019-03-01,Banglore,New Delhi,BLR → NAG → DEL,1900-01-01 16:50:00,2026-02-07 21:35:00,4h 45m,1,No info,13302,2,3,285,Summer,0,0,0,Aft,Friday,0,13302.0,21,3,Very High,Banglore → New Delhi,3,0,5,1,0
5,SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,1900-01-01 09:00:00,2026-02-07 11:25:00,2h 25m,0,No info,3873,1,6,145,Monsoon,0,0,0,Mrng,Monday,0,3873.0,11,6,Low,Kolkata → Banglore,7,3,0,0,2
6,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 18:55:00,2026-02-07 10:25:00,15h 30m,1,In-flight meal not included,11087,2,3,930,Summer,0,0,0,Evng,Tuesday,0,11087.0,10,3,High,Banglore → New Delhi,4,0,5,1,1
7,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 08:00:00,2026-02-07 05:05:00,21h 5m,1,No info,22270,2,3,1265,Summer,0,0,0,Mrng,Friday,0,18766.85,5,3,Very High,Banglore → New Delhi,4,0,5,1,2
8,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 08:55:00,2026-02-07 10:25:00,25h 30m,1,In-flight meal not included,11087,2,3,1530,Summer,0,0,0,Mrng,Tuesday,0,11087.0,10,3,High,Banglore → New Delhi,4,0,5,1,2
9,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1900-01-01 11:25:00,2026-02-07 19:15:00,7h 50m,1,No info,8625,2,5,470,Summer,0,0,0,Mrng,Monday,0,8625.0,19,5,High,Delhi → Cochin,5,2,1,1,2
